id,district,year_built,year_range
way/31290799,Altstadt,1919,1850-1950
way/31290895,Altstadt,1949,1850-1950
way/31291569,Altstadt,1917,1850-1950
way/31291570,Altstadt,1850,1850-1950
way/31415070,Altstadt,1926,1850-1950
way/31415072,Altstadt,1891,1850-1950
way/31510236,Altstadt,1912,1850-1950
way/31510237,Altstadt,1852,1850-1950
way/31510483,Altstadt,1864,1850-1950
way/31511074,Altstadt,1896,1850-1950
way/31776516,Altstadt,1889,1850-1950
way/31776517,Altstadt,1880,1850-1950
way/31776681,Altstadt,1857,1850-1950
way/31890443,Altstadt,1880,1850-1950
way/31890444,Altstadt,1922,1850-1950
way/31890445,Altstadt,1860,1850-1950
way/32008098,Altstadt,1860,1850-1950
way/32008099,Altstadt,1943,1850-1950
way/32008377,Altstadt,1912,1850-1950
way/32008378,Altstadt,1858,1850-1950
way/32008418,Altstadt,1947,1850-1950
way/32008419,Altstadt,1918,1850-1950
way/32029112,Altstadt,1948,1850-1950
way/32029113,Altstadt,1866,1850-1950
way/32029114,Altstadt,1866,1850-1950
way/32029115,Altstadt,1934,1850-1950
way/32029117,Altstadt,1910,1850-1950
way/32029235,Altstadt,1920,1850-1950
way/32029236,Altstadt,1871,1850-1950
way/32029237,Altstadt,1883,1850-1950
way/32029238,Altstadt,1917,1850-1950
way/32029239,Altstadt,1927,1850-1950
way/32029319,Altstadt,1904,1850-1950
way/32029320,Altstadt,1877,1850-1950
way/32029358,Altstadt,1919,1850-1950
way/32029681,Altstadt,1946,1850-1950
way/32029682,Altstadt,1943,1850-1950
way/32029876,Altstadt,1938,1850-1950
way/32055677,Altstadt,1875,1850-1950
way/32055678,Altstadt,1941,1850-1950
way/32055679,Altstadt,1889,1850-1950
way/32055680,Altstadt,1901,1850-1950
way/32055682,Altstadt,1935,1850-1950
way/32055713,Altstadt,1933,1850-1950
way/32110661,Altstadt,1897,1850-1950
way/32110663,Altstadt,1906,1850-1950
way/32262152,Altstadt,1916,1850-1950
way/32262154,Altstadt,1907,1850-1950
way/32262155,Altstadt,1865,1850-1950
way/32263298,Altstadt,1881,1850-1950
way/32263724,Altstadt,1878,1850-1950
way/32263725,Altstadt,1858,1850-1950
way/32263727,Altstadt,1893,1850-1950
way/32263730,Altstadt,1852,1850-1950
way/32263868,Altstadt,1925,1850-1950
way/32263870,Altstadt,1920,1850-1950
way/32263871,Altstadt,1879,1850-1950
way/32263873,Altstadt,1925,1850-1950
way/32306489,Altstadt,1878,1850-1950
way/32306490,Altstadt,1850,1850-1950
way/32306491,Altstadt,1859,1850-1950
way/32306493,Altstadt,1940,1850-1950
way/32306495,Altstadt,1930,1850-1950
way/32306496,Altstadt,1857,1850-1950
way/32539237,Altstadt,1879,1850-1950
way/32539241,Altstadt,1858,1850-1950
way/32539313,Altstadt,1854,1850-1950
way/32556538,Altstadt,1892,1850-1950
way/32697536,Altstadt,1859,1850-1950
way/32697537,Altstadt,1915,1850-1950
way/32697538,Altstadt,1880,1850-1950
way/32697539,Altstadt,1885,1850-1950
way/32697540,Altstadt,1935,1850-1950
way/32697541,Altstadt,1912,1850-1950
way/32697542,Altstadt,1877,1850-1950
way/32697563,Altstadt,1919,1850-1950
way/32697739,Altstadt,1866,1850-1950
way/32697745,Altstadt,1942,1850-1950
way/32697746,Altstadt,1923,1850-1950
way/32697754,Altstadt,1923,1850-1950
way/32699181,Altstadt,1910,1850-1950
way/32699182,Altstadt,1881,1850-1950
way/32699183,Altstadt,1950,1850-1950
way/32699184,Altstadt,1910,1850-1950
way/32699185,Altstadt,1902,1850-1950
way/32699186,Altstadt,1874,1850-1950
way/32699188,Altstadt,1862,1850-1950
way/32699189,Altstadt,1862,1850-1950
way/32699190,Altstadt,1934,1850-1950
way/32699192,Altstadt,1905,1850-1950
way/32699449,Altstadt,1895,1850-1950
way/32699450,Altstadt,1904,1850-1950
way/32699451,Altstadt,1902,1850-1950
way/32699452,Altstadt,1909,1850-1950
way/32699453,Altstadt,1943,1850-1950
way/32876247,Altstadt,1856,1850-1950
way/32877606,Altstadt,1936,1850-1950
way/32878250,Altstadt,1933,1850-1950
way/32902866,Altstadt,1932,1850-1950
way/32903417,Altstadt,1862,1850-1950
way/32903418,Altstadt,1857,1850-1950
way/32903419,Altstadt,1901,1850-1950
way/32903420,Altstadt,1943,1850-1950
way/32903986,Altstadt,1893,1850-1950
way/32903987,Altstadt,1863,1850-1950
way/32903988,Altstadt,1881,1850-1950
way/32903989,Altstadt,1874,1850-1950
way/32903990,Altstadt,1874,1850-1950
way/32903991,Altstadt,1918,1850-1950
way/32903992,Altstadt,1907,1850-1950
way/32903994,Altstadt,1867,1850-1950
way/32903995,Altstadt,1904,1850-1950
way/32903996,Altstadt,1873,1850-1950
way/32903997,Altstadt,1885,1850-1950
way/32903998,Altstadt,1909,1850-1950
way/32903999,Altstadt,1881,1850-1950
way/32904000,Altstadt,1859,1850-1950
way/32930556,Altstadt,1906,1850-1950
way/32930642,Altstadt,1920,1850-1950
way/32930643,Altstadt,1862,1850-1950
way/32930644,Altstadt,1856,1850-1950
way/32930645,Altstadt,1933,1850-1950
way/32930646,Altstadt,1919,1850-1950
way/32930648,Altstadt,1851,1850-1950
way/32947492,Altstadt,1861,1850-1950
way/32947495,Altstadt,1946,1850-1950
way/32948616,Altstadt,1880,1850-1950
way/32948617,Altstadt,1871,1850-1950
way/32948618,Altstadt,1902,1850-1950
way/32948619,Altstadt,1912,1850-1950
way/32948621,Altstadt,1911,1850-1950
way/32949873,Altstadt,1877,1850-1950
way/32949874,Altstadt,1901,1850-1950
way/32949875,Altstadt,1857,1850-1950
way/32949877,Altstadt,1871,1850-1950
way/32949878,Altstadt,1898,1850-1950
way/33046907,Altstadt,1850,1850-1950
way/33046908,Altstadt,1899,1850-1950
way/33173247,Altstadt,1883,1850-1950
way/33173248,Altstadt,1950,1850-1950
way/33173249,Altstadt,1950,1850-1950
way/33173250,Altstadt,1908,1850-1950
way/33173251,Altstadt,1886,1850-1950
way/33173252,Altstadt,1904,1850-1950
way/33173253,Altstadt,1939,1850-1950
way/33173254,Altstadt,1943,1850-1950
way/33173255,Altstadt,1950,1850-1950
way/33173256,Altstadt,1921,1850-1950
way/33173257,Altstadt,1934,1850-1950
way/33173259,Altstadt,1941,1850-1950
way/33173260,Altstadt,1912,1850-1950
way/33173261,Altstadt,1869,1850-1950
way/33173262,Altstadt,1874,1850-1950
way/33173263,Altstadt,1887,1850-1950
way/33174712,Altstadt,1877,1850-1950
way/33174713,Altstadt,1857,1850-1950
way/33174714,Altstadt,1924,1850-1950
way/33174852,Altstadt,1944,1850-1950
way/33174970,Altstadt,1919,1850-1950
way/33175041,Altstadt,1857,1850-1950
way/33175042,Altstadt,1945,1850-1950
way/33175188,Altstadt,1890,1850-1950
way/33203619,Altstadt,1857,1850-1950
way/33272854,Altstadt,1856,1850-1950
way/33276042,Altstadt,1924,1850-1950
way/33302944,Altstadt,1911,1850-1950
way/33302945,Altstadt,1914,1850-1950
way/33302946,Altstadt,1917,1850-1950
way/33302947,Altstadt,1870,1850-1950
way/33302950,Altstadt,1857,1850-1950
way/33437636,Altstadt,1915,1850-1950
way/33437637,Altstadt,1860,1850-1950
way/33438480,Altstadt,1873,1850-1950
way/33440376,Altstadt,1858,1850-1950
way/33471857,Altstadt,1926,1850-1950
way/33471858,Altstadt,1858,1850-1950
way/33511757,Altstadt,1936,1850-1950
way/33511760,Altstadt,1880,1850-1950
way/33512571,Altstadt,1901,1850-1950
way/33512572,Altstadt,1865,1850-1950
way/33512573,Altstadt,1922,1850-1950
way/33512574,Altstadt,1881,1850-1950
way/33512576,Altstadt,1924,1850-1950
way/33512577,Altstadt,1926,1850-1950
way/33512578,Altstadt,1855,1850-1950
way/33512579,Altstadt,1929,1850-1950
way/33512581,Altstadt,1860,1850-1950
way/33512582,Altstadt,1903,1850-1950
way/33512583,Altstadt,1934,1850-1950
way/33512584,Altstadt,1924,1850-1950
way/33512585,Altstadt,1922,1850-1950
way/33512586,Altstadt,1916,1850-1950
way/33814456,Altstadt,1890,1850-1950
way/33814457,Altstadt,1883,1850-1950
way/33814458,Altstadt,1876,1850-1950
way/33814459,Altstadt,1935,1850-1950
way/33814460,Altstadt,1941,1850-1950
way/33814462,Altstadt,1890,1850-1950
way/33814464,Altstadt,1880,1850-1950
way/33814887,Altstadt,1883,1850-1950
way/33814890,Altstadt,1900,1850-1950
way/33814891,Altstadt,1866,1850-1950
way/33816733,Altstadt,1935,1850-1950
way/33816734,Altstadt,1932,1850-1950
way/33816736,Altstadt,1888,1850-1950
way/33816737,Altstadt,1908,1850-1950
way/33816739,Altstadt,1890,1850-1950
way/33816740,Altstadt,1946,1850-1950
way/33816741,Altstadt,1859,1850-1950
way/33816743,Altstadt,1851,1850-1950
way/33816744,Altstadt,1908,1850-1950
way/33816745,Altstadt,1929,1850-1950
way/33816747,Altstadt,1922,1850-1950
way/33816748,Altstadt,1862,1850-1950
way/33816749,Altstadt,1859,1850-1950
way/33816750,Altstadt,1918,1850-1950
way/33817595,Altstadt,1877,1850-1950
way/34380407,Altstadt,1914,1850-1950
way/34584182,Altstadt,1883,1850-1950
way/34584193,Altstadt,1866,1850-1950
way/34635901,Altstadt,1894,1850-1950
way/34635947,Altstadt,1858,1850-1950
way/35283944,Altstadt,1881,1850-1950
way/35283946,Altstadt,1897,1850-1950
way/35283947,Altstadt,1886,1850-1950
way/35283948,Altstadt,1870,1850-1950
way/35283949,Altstadt,1906,1850-1950
way/35283952,Altstadt,1919,1850-1950
way/35283953,Altstadt,1940,1850-1950
way/36695923,Altstadt,1888,1850-1950
way/36785190,Altstadt,1928,1850-1950
way/36785191,Altstadt,1933,1850-1950
way/36822579,Altstadt,1917,1850-1950
way/37706464,Altstadt,1851,1850-1950
way/37706465,Altstadt,1935,1850-1950
way/37706466,Altstadt,1920,1850-1950
way/37706467,Altstadt,1888,1850-1950
way/37731095,Altstadt,1934,1850-1950
way/37731096,Altstadt,1863,1850-1950
way/37732425,Altstadt,1867,1850-1950
way/37757984,Altstadt,1883,1850-1950
way/37863935,Altstadt,1864,1850-1950
way/37863936,Altstadt,1863,1850-1950
way/37863937,Altstadt,1945,1850-1950
way/37863938,Altstadt,1920,1850-1950
way/37863939,Altstadt,1869,1850-1950
way/37863940,Altstadt,1884,1850-1950
way/37863941,Altstadt,1886,1850-1950
way/37863944,Altstadt,1927,1850-1950
way/37863945,Altstadt,1876,1850-1950
way/37863946,Altstadt,1941,1850-1950
way/37863947,Altstadt,1893,1850-1950
way/37863948,Altstadt,1876,1850-1950
way/37863949,Altstadt,1937,1850-1950
way/37866522,Altstadt,1931,1850-1950
way/37866523,Altstadt,1883,1850-1950
way/37931064,Altstadt,1914,1850-1950
way/37992234,Altstadt,1912,1850-1950
way/37992235,Altstadt,1882,1850-1950
way/38027309,Altstadt,1856,1850-1950
way/38028565,Altstadt,1861,1850-1950
way/38127347,Altstadt,1931,1850-1950
way/38233147,Altstadt,1904,1850-1950
way/38233429,Altstadt,1885,1850-1950
way/38246008,Altstadt,1855,1850-1950
way/38246009,Altstadt,1850,1850-1950
way/38246010,Altstadt,1892,1850-1950
way/38246011,Altstadt,1948,1850-1950
way/38246013,Altstadt,1866,1850-1950
way/38246014,Altstadt,1931,1850-1950
way/38246015,Altstadt,1883,1850-1950
way/38246016,Altstadt,1870,1850-1950
way/38246017,Altstadt,1944,1850-1950
way/38246018,Altstadt,1906,1850-1950
way/38246019,Altstadt,1920,1850-1950
way/38246020,Altstadt,1940,1850-1950
way/38246021,Altstadt,1904,1850-1950
way/38246024,Altstadt,1921,1850-1950
way/38246025,Altstadt,1851,1850-1950
way/38246027,Altstadt,1864,1850-1950
way/38246028,Altstadt,1859,1850-1950
way/38246030,Altstadt,1938,1850-1950
way/38246031,Altstadt,1869,1850-1950
way/38246032,Altstadt,1919,1850-1950
way/38246033,Altstadt,1854,1850-1950
way/38530441,Altstadt,1897,1850-1950
way/38530442,Altstadt,1924,1850-1950
way/38530443,Altstadt,1920,1850-1950
way/38530444,Altstadt,1868,1850-1950
way/38530445,Altstadt,1905,1850-1950
way/38530446,Altstadt,1866,1850-1950
way/38530447,Altstadt,1855,1850-1950
way/38530448,Altstadt,1889,1850-1950
way/38551407,Altstadt,1896,1850-1950
way/38551408,Altstadt,1855,1850-1950
way/38551409,Altstadt,1895,1850-1950
way/38551410,Altstadt,1876,1850-1950
way/38551412,Altstadt,1937,1850-1950
way/38551413,Altstadt,1881,1850-1950
way/38551414,Altstadt,1935,1850-1950
way/38578888,Altstadt,1863,1850-1950
way/38808170,Altstadt,1895,1850-1950
way/38808171,Altstadt,1949,1850-1950
way/38865288,Altstadt,1921,1850-1950
way/39543071,Altstadt,1902,1850-1950
way/42402621,Altstadt,1929,1850-1950
way/42489336,Altstadt,1945,1850-1950
way/42489337,Altstadt,1869,1850-1950
way/42489342,Altstadt,1880,1850-1950
way/43555459,Altstadt,1870,1850-1950
way/43555460,Altstadt,1872,1850-1950
way/43555463,Altstadt,1902,1850-1950
way/43555464,Altstadt,1853,1850-1950
way/43555465,Altstadt,1872,1850-1950
way/44049739,Altstadt,1944,1850-1950
way/44049741,Altstadt,1892,1850-1950
way/44049742,Altstadt,1950,1850-1950
way/44049743,Altstadt,1902,1850-1950
way/44049744,Altstadt,1935,1850-1950
way/44049745,Altstadt,1944,1850-1950
way/44049747,Altstadt,1881,1850-1950
way/44049748,Altstadt,1884,1850-1950
way/44049749,Altstadt,1870,1850-1950
way/44049750,Altstadt,1950,1850-1950
way/44049751,Altstadt,1939,1850-1950
way/44049752,Altstadt,1863,1850-1950
way/44049753,Altstadt,1898,1850-1950
way/44049754,Altstadt,1854,1850-1950
way/44049755,Altstadt,1910,1850-1950
way/44049756,Altstadt,1878,1850-1950
way/44049757,Altstadt,1875,1850-1950
way/44129769,Altstadt,1908,1850-1950
way/44129943,Altstadt,1894,1850-1950
way/44129944,Altstadt,1889,1850-1950
way/44129945,Altstadt,1879,1850-1950
way/44129946,Altstadt,1878,1850-1950
way/44129948,Altstadt,1853,1850-1950
way/44129949,Altstadt,1934,1850-1950
way/44129950,Altstadt,1874,1850-1950
way/44129951,Altstadt,1901,1850-1950
way/44129952,Altstadt,1892,1850-1950
way/44129955,Altstadt,1885,1850-1950
way/44130244,Altstadt,1858,1850-1950
way/44573845,Altstadt,1948,1850-1950
way/44677527,Altstadt,1885,1850-1950
way/44684552,Altstadt,1894,1850-1950
way/44685476,Altstadt,1932,1850-1950
way/44685892,Altstadt,1915,1850-1950
way/44686868,Altstadt,1901,1850-1950
way/44852486,Altstadt,1936,1850-1950
way/44852487,Altstadt,1918,1850-1950
way/44852488,Altstadt,1892,1850-1950
way/44852490,Altstadt,1853,1850-1950
way/44890008,Altstadt,1864,1850-1950
way/45330831,Altstadt,1883,1850-1950
way/45330833,Altstadt,1872,1850-1950
way/45330834,Altstadt,1924,1850-1950
way/45331462,Altstadt,1883,1850-1950
way/45331615,Altstadt,1854,1850-1950
way/45332574,Altstadt,1863,1850-1950
way/45392098,Altstadt,1926,1850-1950
way/45392099,Altstadt,1905,1850-1950
way/45392100,Altstadt,1894,1850-1950
way/45392101,Altstadt,1943,1850-1950
way/45392102,Altstadt,1950,1850-1950
way/45394501,Altstadt,1890,1850-1950
way/45394502,Altstadt,1905,1850-1950
way/45394503,Altstadt,1927,1850-1950
way/45394504,Altstadt,1915,1850-1950
way/45394505,Altstadt,1864,1850-1950
way/45394506,Altstadt,1899,1850-1950
way/45394507,Altstadt,1923,1850-1950
way/45394508,Altstadt,1874,1850-1950
way/45394509,Altstadt,1882,1850-1950
way/45394510,Altstadt,1855,1850-1950
way/45394511,Altstadt,1940,1850-1950
way/45394512,Altstadt,1905,1850-1950
way/45394513,Altstadt,1850,1850-1950
way/45394514,Altstadt,1916,1850-1950
way/45394515,Altstadt,1918,1850-1950
way/45394516,Altstadt,1937,1850-1950
way/45479100,Altstadt,1942,1850-1950
way/45479240,Altstadt,1944,1850-1950
way/45479406,Altstadt,1944,1850-1950
way/45830808,Altstadt,1935,1850-1950
way/45831084,Altstadt,1875,1850-1950
way/45831148,Altstadt,1896,1850-1950
way/45831149,Altstadt,1905,1850-1950
way/45831150,Altstadt,1858,1850-1950
way/48120499,Altstadt,1935,1850-1950
way/48277706,Altstadt,1892,1850-1950
way/48277710,Altstadt,1929,1850-1950
way/48277711,Altstadt,1890,1850-1950
way/48289841,Altstadt,1934,1850-1950
way/48289842,Altstadt,1865,1850-1950
way/48351737,Altstadt,1942,1850-1950
way/48351738,Altstadt,1888,1850-1950
way/48351739,Altstadt,1914,1850-1950
way/48351740,Altstadt,1889,1850-1950
way/48358594,Altstadt,1935,1850-1950
way/48358878,Altstadt,1902,1850-1950
way/48358879,Altstadt,1891,1850-1950
way/48358880,Altstadt,1901,1850-1950
way/48358881,Altstadt,1939,1850-1950
way/48359826,Altstadt,1887,1850-1950
way/48359829,Altstadt,1920,1850-1950
way/48359830,Altstadt,1866,1850-1950
way/48359832,Altstadt,1874,1850-1950
way/48359833,Altstadt,1903,1850-1950
way/48360660,Altstadt,1935,1850-1950
way/48398459,Altstadt,1898,1850-1950
way/48405470,Altstadt,1936,1850-1950
way/48456851,Altstadt,1945,1850-1950
way/48456856,Altstadt,1872,1850-1950
way/48456865,Altstadt,1928,1850-1950
way/48456866,Altstadt,1922,1850-1950
way/48456869,Altstadt,1888,1850-1950
way/48456871,Altstadt,1901,1850-1950
way/48456872,Altstadt,1920,1850-1950
way/48457067,Altstadt,1850,1850-1950
way/48457069,Altstadt,1888,1850-1950
way/48457070,Altstadt,1886,1850-1950
way/48457071,Altstadt,1876,1850-1950
way/48593384,Altstadt,1905,1850-1950
way/48686160,Altstadt,1950,1850-1950
way/48686161,Altstadt,1924,1850-1950
way/49250070,Altstadt,1927,1850-1950
way/49250071,Altstadt,1933,1850-1950
way/49250072,Altstadt,1891,1850-1950
way/49250073,Altstadt,1909,1850-1950
way/49250274,Altstadt,1906,1850-1950
way/49596759,Altstadt,1906,1850-1950
way/49600989,Altstadt,1936,1850-1950
way/49600990,Altstadt,1877,1850-1950
way/49835077,Altstadt,1915,1850-1950
way/49837046,Altstadt,1910,1850-1950
way/49840069,Altstadt,1944,1850-1950
way/49989515,Altstadt,1871,1850-1950
way/50061677,Altstadt,1934,1850-1950
way/50062235,Altstadt,1860,1850-1950
way/50072754,Altstadt,1886,1850-1950
way/50072756,Altstadt,1915,1850-1950
way/50072758,Altstadt,1934,1850-1950
way/50456273,Altstadt,1931,1850-1950
way/50456275,Altstadt,1929,1850-1950
way/50545016,Altstadt,1892,1850-1950
way/50546861,Altstadt,1861,1850-1950
way/50546862,Altstadt,1946,1850-1950
way/50546863,Altstadt,1880,1850-1950
way/50546864,Altstadt,1936,1850-1950
way/50570660,Altstadt,1889,1850-1950
way/50575811,Altstadt,1878,1850-1950
way/50577976,Altstadt,1875,1850-1950
way/50752511,Altstadt,1868,1850-1950
way/50997849,Altstadt,1853,1850-1950
way/51072280,Altstadt,1855,1850-1950
way/51074125,Altstadt,1881,1850-1950
way/51227654,Altstadt,1910,1850-1950
way/51228512,Altstadt,1928,1850-1950
way/51340618,Altstadt,1948,1850-1950
way/51370044,Altstadt,1859,1850-1950
way/51370102,Altstadt,1908,1850-1950
way/51370213,Altstadt,1903,1850-1950
way/51382654,Altstadt,1930,1850-1950
way/51382655,Altstadt,1923,1850-1950
way/51720020,Altstadt,1874,1850-1950
